Number,url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
119,https://www.opentable.com/r/itria-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Itria,92 Reviews,4.6,Italian,$31 to $50,4.7,4.5,4.5,4.2,"Itria is a Modern Italian restaurant brought to you by Chef Daniel Evers and Omakase Capital. The name comes from the Syriac word 'itriya,' used by Arab geographer al-ldrisi to describe a type of dried pasta he saw in Sicily during the 12th century. The origins of this term are much older, however, with varying versions of it found in ancient records across the Mediterranean and Middle-East. The name reflects just a small piece of the evolution of Italian cuisine as a confluence of global influences. Our goal is to build on the foundations of classical Italian cooking to create a dining experience that respects tradition without being overly constrained by it.","Read more service was some of the best i've had, truly! pasta was solid. not the best i've ever had but i liked it a lot!  Pasta is the best you’ll find in SF but service was unremarkable, disorganized and chaotic. Way too noisy, especially if you’re by the large table with a large group.  Really good salad and starters. Good malfati with egg and black pepper, but I needed more pepper.  We visited on a friend's recommendation and the experience did not disappoint. The staff and service was impeccable from the moment we walked in until we left satisfied a few hours later. The food was delicious and beautifully presented, and care was taken to ensure it was gluten-safe for the Celiac in the group. Our server also expertly helped us pick a bottle of wine to pair with our meal. The tiramisu dessert (shareable) was a delight and there were two gluten free dessert options that didn't revolve around sorbet. Would absolutely recommend Itria. Read more This place is perfect every time! The food is on point, the staff is knowledgeable and friendly, the environment is relaxing and beautiful. It is such a treat to come here and over and over my expect are surpassed!  Food was very good and really nice staff. The pastas were the highlight but everything was very tasty  .  The staff was knowledgeable and helpful with food and wine recommendations, the food was delicious. The noise level was totally acceptable.  Generous chef's tasting menu. Everything tasted fantastic. Service was amazing. There was always someone either checking in or simply folding our napkin, it was wonderful. Great date night spot  Always Incredible! Itria never disappoints. A favorite in SF!  Itria is perfect. They stick the landing EVERY SINGLE TIME. From first to last bite. Also their servers are ALL UNICORNS. 10 out of 10. ",https://resizer.otstatic.com/v2/photos/xlarge/3/59524660.webp
120,https://www.opentable.com/r/selbys-redwood-city?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Selby's,Reviews not found,Rating not found,Continental,$31 to $50,4.7,4.8,4.8,4.2,"Located on the corners of Selby Lane and El Camino Real in the town of Atherton, Selby’s celebrates classic American continental cuisine with a menu that showcases the restaurant’s unique relationship with SMIP Ranch. Please visit our website for updates. We will see you soon!

We serve a Three Course Pre-Fixe Menu for $125 per person.

We are excited to announce we are returning to
a traditional tipping model and will no longer be
applying service fees to your bill. This change will
provide our guests with greater flexibility and the
opportunity to show your appreciation for our staff’s
hard work and dedication.","Read more Was surprised how much I enjoyed this meal. The ambiance and drinks are also great. Service is awesome. Will stop by next time I’m in town!  Absolutely, insanely good. Worth every penny. the experience, the food, the service. An absolute treat! Went for my 12th anniversary. My wife and I had goosebumps throughout the entire meal. Each dish more amazing than the next. Can’t wait to go back!  Shelby’s is excellent!  It is my favorite special occasion restaurant in the entire Bay Area  My next closest experience was The French Laundry, the atmosphere is wonderfully comfortable while not being overly done.

The service was deep and wide with attentiveness, combined with a sense of privacy!

The food, well really speaks for itself! Every single dish is artfully put together for all the senses!!

We will be going back!! This was a very special Tuesday date night, the best part being my amazing partner!!￼ Read more Great  dinner, great portions. Overall very happy  Yes please cancel tomorrow s reservation s 
I already had dinner on the 22 I had modified 
Now I get an email 
Saying I will be charged 
Any ? 909 322 5400 Read more Exceptional food, staff (server Pamela was particularly helpful and attentive), clubby setting. Strongly recommend.  Great space and ambience. Food very good and service excellent. One of our party had food restrictions and the server was extremely helpful. All staff were extremely friendly and we appreciated the special anniversary dessert.  Can't wait to go back!  A fantastic experience in all respects!  Always great services, also felt like food has been elevated as well from past experiences ",https://resizer.otstatic.com/v2/photos/xlarge/1/31019591.webp
121,https://www.opentable.com/r/bistro-888-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,BISTRO 888,1802 Reviews,4.2,Californian,$31 to $50,4.2,4.2,4,1.7,"Contemporary upscale Restaurant and Bar ""BISTRO 888"" in downtown San Francisco offers a modern Californian Cuisine designed by Executive Chef Norma Whitt. Along with serving delicious entrees using local ingredients, BISTRO 888 offer guests and extensive selection of wines, craft beer, and hand-crafted cocktails."," Always excellent service and food!

This hotel is a great place to stay, but the restaurant is also a neighborhood gem!

The longtime staff are professional and friendly, and the restaurant shares a kitchen with the excellent Luce, meaning you’re likely to get a great meal!

Reliably great place to spend your time, funds and calorie buget🤪 Read more Excellent service.  Nice cocktails.  Burger was so-so.  Too much mushrooms.  Delightful spot for a get-together. The staff was super cool and accommodating, not to mention nice and friendly.  This is a fabulous restaurant within The Intercontinental on Howard.

Bistro 888 is staffed by wonderful staff of The Intercontinental.  The food shares a kitchen with the Michelin starred Luce.  The staff tend to stay and remember returning guests.  You can eat at the bar as an option, where you may meet both locals and travelers.

The food is always delicious and reasonably priced, especially considering it’s within a hotel, which often means overpriced meals.

Our burger was a 10 of 10!  Everything was great!

We’ll be back!!! Read more Great food, location, & service very close to the Moscone Convention Ctr in San Francisco  La hamburguesa y la pasta con short rib excelente al igual que las papas  We had a good meal but not great.  Salmon and fregola was adequate but nothing spectacular.  The ancient grains with salmon was good but would have benefitted from an increase in basic seasoning.  Fish tacos were also good but the fish was over-battered and somewhat dry.  Each dish lacked something that would have made them better than okay.  Service was good but the booths are somewhat small and located next to the pickup station at the bar. Read more All was great. I’d definitely go again for business or casual meetings.  We had a delicious dinner: one of us had the salmon, the other the dorado.
Highly recommend.  Usually a hotel restaurant is at best mediocre, but this
place was really, really good.

We also had the breakfast buffet a few times.  The servers were very cheery
and the food was excellent. Read more I like that his restaurant, but the brunch was surprisingly simple. Just a very regular breakfast that one could eat elsewhere. Good service. ",https://resizer.otstatic.com/v2/photos/xlarge/3/50618948.webp
122,https://www.opentable.com/r/babette-berkeley?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Babette,114 Reviews,4.7,Californian,$31 to $50,4.6,4.8,4.8,4.4,"At Babette, the husband and wife team of Joan Ellis and Patrick Hooker, are in the kitchen preparing each plate to ensure that their vision and taste profile are translated to each diner. The attention to detail are evident in not only the food they make but also the ambience they have created. The interior of the restaurant is natural brick and the couple have chosen a rich color palette of deep blues and greens for the walls. An elegant chandelier hangs over a natural wood backed booth providing both a cozy and elegant feel to the room. Outside on the spacious patio, a magnificent redwood tree provides natural shade to the built in seating area and plants are abundant creating a lush, garden setting.
Live music Brunches, New York style Pizza, unique Entrees and our famous Sicilian Lemon Almond Pistachio Cake are just a taste of what you will find at Babette. Warm and knowledgeable staff will make you feel like part of the family.","Read more We had the best brunch experience ever today! The lemon ricotta pancakes along with the cheesy potatoes were delish! We sat outside on their darling little patio and listened to live music, it was so lovely. But the best part of all was the outstanding service from Maxine, her suggestions were on point and her beautiful energy was exactly what our morning needed! Will definitely be back! Read more Babette offers amazing patio seating under a large redwood tree. Stars hanging overhead twinkle as your waitstaff warmly welcomes you, explaining the specials and answering questions. The musical group playing Wednesday adds so much to the inviting atmosphere.  We chose a salad of melon, fig, prosciutto and feta plus a Margherita pizza for three of us.  Both were really delicious. The staff is happy to accommodate any choices always with a smile. What more can I say?  A delightful experience! Read more Babette is a stellar eatery in Berkeley. Joan, the owner, seated us herself and was an absolute delight to talk to. The backyard is gorgeous and you'd never know that you're a mere 30 meters off of busy San Pablo Ave. The exposed brick, center tree and lovely outdoor seating make a perfect French-feeling hide-away in back. Heat lamps are there, as we move out of the summer. I will always angle to get a table in back if I can. 

The food was spectacular, a gorgeous Waygu steak with vegetables and assorted sides. Perfectly cooked on the inside with just a bit of crisp on the exterior. Dessert was a chocolate whiskey cake slice, the perfect size for sharing with my girlfriend.

Babettes never disappoints. A memorable lovely evening. It would be temping to save Babettes for special occasions, but that would be a waste. It rewards with regular visits. Read more Love, loved everything about this restaurant. I live in San Jose, so it was a trek to get there on a Saturday evening, but totally worth it.  Lovely patio with heat lamps. Friendly, attentive server.  Happy hour pricing softened disappointment of food being just so-so.  Margarita pizza had great crust but overly sweet tomato sauce and just a suggestion of cheese, not enough.  Watermelon cocktail lacked the sweetness of watermelon juice.  Appetizers were ok but small portions.  Only the dessert was outstanding- a chocolate mousse with delightful thin crunchy cookies and raspberry caramel. Read more Lovely environment and staff, delicious food and drinks.  The back patio is delightful - the indoor area less so, but fine. The food also was fine; heavy on bread, good, not great. Service was perfect.  We had a delightful dinner on the back patio.  We ordered starters  (figs and prosciutto, stuffed naan, pork belly sliders, tomato and shrimp salad) for dinner and chocolate mousse.  They were all delicious! Good summer menu.  Fresh and tasty.  Eating next to Babette's Redwood tree, enjoying the fabulous food, the music a lovely back note to conversation, was such a joy. The service was so friendly and responsive, really the best! Loved brunch at Babette's!  The outdoor space is amazing!  the mushroom pizza was delicious! The pork belly sliders were portioned well ( so many places end up using way too much meat).  the whole crew was fantastic extremely knowledgeable and very  friendly. ",https://resizer.otstatic.com/v2/photos/xlarge/3/65928651.webp
123,https://www.opentable.com/r/the-star-on-park-alameda?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,The Star on Park,352 Reviews,4.4,Pizzeria,$30 and under,4.5,4.6,4.4,4.3,"The Star features the same delicious Chicago-style deep dish pizza that made Little Star Pizza famous, with their consistent Guardian's Best of the Bay Pizza. We have an extended menu including salads, appetizers, and sandwiches. We feature an artisan full bar as well as a diverse beer and wine menus. We are family friendly and accept reservations for large parties as well. We look forward to you joining us!"," Long long long wait for food even though restaurant was not very busy  As pizza places go, this is above average (it’s a pizza place, folks- if you’re looking for a Michelin-star restaurant, you won’t find it here or at any pizza place, so take my four and five-star ratings in context).  The menu is extensive (wings, salads, sandwiches) and the food is consistently solid.  Service is generally attentive and this time was no different.  Great thin crust lunch special pizza & Caesar lunch salad. Great selection of IPA’s.  My friends and I enjoyed our lunch at The Star on Park very much.  We will certainly go back again.  I love star and have Been there a hundred times always with great food. Last night the pizza arrived with no tomato sauce. I was in a hurry or would have sent it back. Really disappointing.  I frequently dine at the Star on Park Street.  Their salads are delicious and their pizzas are the best.  The staff are very friendly and efficient.  There is nothing not to like.  Had a wonderful birthday! Our server was super pleasant and welcoming! I highly recommend this place and will most definitely be going back!  The Star has great lunch specials which are delicious and a good price.  The pizza is always yummy and their salads are delicious.   My husband and I go there regularly.  Great pizza, drinks and appetizers that are good value. Staff were friendly and attentive in an old bank in downtown alameda.  Great restaurant. Server was amazing. Food was delicious. ",https://resizer.otstatic.com/v2/photos/xlarge/1/53242135.webp
124,https://www.opentable.com/r/sushi-sato-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Sushi Sato,165 Reviews,4.4,Japanese,$31 to $50,4.4,4.5,4.4,3.9,"Japanese Restaurant with Full Drink Bar, offering cocktails from award-winning bartenders, a wide selection of wines, sakes from house sommelier.

Enjoy sashimi, sushi, exclusive sushi tastings, or immerse yourself with 7-course chef's tasting as well as a variety of a la carte dishes.

+At our party-ready whiskey bar seatings, you can order the full menu from a la carte to tastings, and enjoy the award-winning bartender in action, right in front of you.

++From our custom made table side, you can have the full bar beverages as well as the food menus.

+++If you are ready to take a further step to the true Omakase experience, we recommend you to make a reservation at our sister restaurant at 'Sato Omakase', our limited tranquil Sushi Bar area next door, or kindly inquire within for available seatings.

***In compliance with SF's health order, we required proof of vaccination and photo ID to dine indoors.***","Read more I can't speak to the quality of the fish, but it certainly wasn't fresh. 

I expect better from Mins Group --- I know this isn't a top of the line sushi spot, but for the price point, they significantly underdelivered. Read more Incredible food and great service !  We were there on a Saturday night it was quiet and clean  Food was not good. Expensive bluefin donburi inedible. Service was bad. Expensive and not good.  Amazing! Attentive waiter and superior service during our visit  Our server was not attentive. We only ordered one fish and the food still took 1 hour to arrive. Meanwhile, the host did not check in, apologize, or acknowledge us during the wait. The restaurant was not busy relative to the service or wait we experienced. I would not recommend this restaurant to anyone.  The food was delicious, drinks delightful, service fantastic. The flambeed roll was incredible.  We had an excellent experience. Food was amazing, service was impeccable. Would highly recommend.  Great food, just pricey. We came in at 5:30 before the dinner rush and had the whole place to ourselves to enjoy :)  Truly outstanding experience. The staff are super friendly and helpful. The sushi is incredible. Get a tasting sampler or two and let that dictate what else you might order. We also got the crab risotto which was sublime. Drinks from cocktails to sake to whiskey were great. Can’t wait to go back!  Not worth the price at all. Awfully frugal portions for the price and value. ",https://resizer.otstatic.com/v2/photos/xlarge/3/46764502.webp
125,https://www.opentable.com/r/ozumo-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Ozumo - San Francisco,3379 Reviews,4.6,Japanese,$50 and over,4.7,4.4,4.5,4.1,"Ozumo is one of San Francisco’s most popular destinations for contemporary Japanese cuisine. Created in 2001, Ozumo was one of the first restaurants to combine sushi and robata cooking under one roof. Its captivating design, by world-renowned Japanese-based Super Potato, continues to delight diners, years after its’ inception. Ozumo introduced chilled, high-quality sake to its’ guests, by curating one of the finest collections from Japan’s most esteemed brewers.

As a long-standing establishment in Embarcadero, Ozumo remains committed to its culinary roots while also elevating its menu with the assistance of a new Chef Partner, Chef Yukinori Yamamoto. Chef Yama, who embarked on his culinary journey at the age of 18, has accumulated 33 years of experience in crafting Japanese cuisine and is now making a formidable impact at Ozumo.

www.ozumo.com
@ozumorestaurants","Read more Ozumo has now become a family favorite. This is our second time dining with Ozumo (we hosted our daughter’s graduation dinner here). Service tonight was superb. Kotchanan waited on us and she was very patient with our 86yo mother. She explained the various sections of the menu and her suggestions. Our family of 7 ordered several appetizers and several entrees to share, plus nigiri and maki. The entrees most talked about at the table : Gindara (robota black cod with miso sauce), A5 Miyazaki and A5 Takamori. We shared desserts! Read more Amazing!!! I always love going here and I am NEVER disappointed. They hustle here!!!  The food was fabulous. And our waitress was very knowledgeable, very helpful, and just lovely. The only slight negative is that the noise level was high because we were dining at busiest point of the evening.  We had to wait an hour behind our reservation time to get seated.  Last night was not a pleasant experience. The sushi is always amazing, some of the best in the city. And the staff were were very friendly and knowledgeable. But, the atmosphere and service made it a poor experience. The restaurant was very busy, but with the stone floors and walls, and blaring music in the lounge, it was so loud I couldn't hear the conversation at the table. Service was incredibly slow, it was more than 10 mins before a server arrived after we were seated, and another 20 mins before they re-appeared to take our order. After our order was delivered, the waiter didn't return and I needed to flag someone down several times for water. Read more Ozumo is a great spot in the City to enjoy Sushi. Great atmosphere!  Good though we could have been seated at a better table rather than bring tucked away into a corner with no food outside view 🙂  Booked for my boss - food was good but service was awful like they were forgotten.  Waiter was very inattentive. Took a long time to get his attention.  Food was terrific.  Some maki we have not seen or tasted elsewhere.  Very comfortable seating and attractive furnishing and design.  Server was very knowledgeable but, when describing the menu, spoke at 100 mph and walked away quickly before we had time to digest his descriptions much less ask questions. ",https://resizer.otstatic.com/v2/photos/xlarge/3/52678087.webp
126,https://www.opentable.com/r/zentarou-sushi-and-sake-bar-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Zentarou Sushi and Sake Bar,6 Reviews,4.7,Asian,$31 to $50,4.7,4.8,4.8,4.5,"Join us for fresh fish, cooked delights, Japanese beer, and rare sake—all at affordable prices."," The restaurant opened three months ago. It’s a very nice location, lovely layout and furnishings and excellent service. The food was good, but not great, but I took that up to young chefs still gaining their focus.￼  Sushi was pretty good but it took 1.5 hours to get 2 rolls on a Thursday night. Service was way too slow so won't be coming back.  The food was excellent and the service was top notch! Also, the sake selection was great the the staff members were very helpful in helping choose a bottle to your taste. I highly recommend Zentarou Sushi if you're looking for a bite to eat the in SF area.  The chu toro was super good! The sushi rolls were super fresh and everything tasted really delicious ! Overall a great experience and super fast service as well.  This is a hidden gem! We live in the neighborhood and  have always  gone to the place since before our children were born. When this came up on OpenTable, I thought why not.

The interior is well done with a mix of elegant simplicity and traditional Japanese decor.  As we walked to our table I noticed a large community table that would be great for a family celebration.

As we sat and looked at the menu my 7 yr old made a point of telling me that each table had its own outlet so she could have brought her iPad and charger with her (it had 11% left and her dad insisted there would be no where to charge it). A great detail for parents who fine white kids but also enjoy quiet those kids to be quiet lol.

Our sever came to take our order and we all realized we knew each other. He proceeded to tell us that he had been a longtime member of the team at our favorite neighborhood  sushi place. He pointed to my 16 yr old and said he  remembered when she was little and all three of us ate there. He then said until you were pregnant with her pointing to my 7 yr old. He said during Covid he started working at another sushi place in Japan town. I instantly knew it was a place I had found when I had sushi delivered for lunch at my office. He said he was so happy to see us there dining there now with the whole family.

He proceeded to tell me that this was his team there now and I smiled and waited for what was going to be
an amazing meal and it was.

Everything was amazing l!!! Highlights for me the fried cheese and sauce, combo is special. The seared beef appetizer was so so good. Fish was fresh, rolls
We’re on point, and the gyoza were legit. Also it’s also important to note  this is a sake bar with an extensive list and fun sake cocktails.

I would say get a reservation here ASAP as I have a feeling this place will not be easy to get into in the future as it blows the other neighborhood places away!!! Read more It was amazing! Truly one of the best sushi experiences I have had in the area! They treated us so well and had amazing recommendations from the chef. Every bite of nigiri was absolutely delicious. No need for soy sauce. Every bite was perfectly balanced and seasoned. We also had a few of the rolls and were all delicious as well. This a newly opened spot and they deserve all the hype and love. I cannot recommend enough! Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/65831431.webp
127,https://www.opentable.com/r/the-park-street-tavern-alameda?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,The Park Street Tavern,524 Reviews,4.8,Mediterranean,$31 to $50,4.8,4.8,4.6,4.5,The Park Street Tavern features Modern Central Mediterranean cuisine.," It me and my husband's fifteen year anniversary and the food was amazing as always! Our server was very attentive and kind! Will always return.  Always gracious. Always delicious and generous portions. Their homemade chocolate brownie with ice cream was to die for!  Had a great time and service was impeccable. Food is always good and drinks are stellar. This place is always a go to whether you’re planning a quick dinner or important event. Have never been disappointed.  I would give them two Michelin Stars, best dinner I have had in several years….. top restaurant in Bay Area  First off, the service was fantastic. We ordered the crab cakes and salad for starters, and the chicken piccata and rib eye for our entrees. Everything was cooked to perfection and delicious! Definitely coming back to try other dishes.  The food and the service are always excellent My friends and I have dinner here once a month.  Our visit was a fine-dining experience in a comfortable, more casual setting.  The beet salad was hearty, fresh and delicious.  Dessert was stupendous.  Everything in between was top notch 5 star!
Plus easy parking in the back.  The warm bread and soft butter was a promising start.  But even sitting away from the bar the place was pretty noisy, especially when they played the recorded music. Our entrees arrived before our drinks.  Overall, the service was OK but nothing to write home about.  Ditto for the food.  I see no need to return.  The food and the service were excellent as always, but it was very noisy last night. We had a hard time hearing each other talk.  Great food and fantastic service.  The  shrimp appetizer is delicious. All 3 of us loved it. Warm French bread was served . Two of us had salmon and one Veal Marsala. Everyone was quite pleased with their meal. ",https://resizer.otstatic.com/v2/photos/xlarge/4/30103719.webp
128,https://www.opentable.com/r/pabu-izakaya-san-francisco-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Pabu Izakaya San Francisco,1373 Reviews,4.6,Japanese,$31 to $50,4.6,4.7,4.5,3.9,"Founded by Chefs Michael Mina and the late Ken Tominaga, of the famed Hana Japanese Restaurant in Sonoma County, PABU Izakaya brings forth a modern take on traditional izakaya-style dining. Now, with Tominaga’s son Keita as Chef/Partner, PABU continues to be a destination for world-class sashimi, sushi, grilled meats from the robata and a seasonal cocktail menu. The restaurant offers the finest locally and globally sourced jet-fresh seafood flown in daily from Japan’s famed Toyosu Market accented by its signature selection of A5 Japanese Wagyu.

Please note: Restaurant Week menu will be offered for reservations between 4:00 – 8:00 pm only","Read more The entire experience was great! The food was spectacular. Every ingredient was the best quality and prepared to perfection.  Everything was so delicious and the service was great! The music is very loud and I would prefer it to be quieter.  Beautiful restaurant, and got a last minute lunch reservation during Dreamforce, which was great. However, the food was very sub-optimal. Very limited selection of sushi (maybe 6 rolls), and way over-priced. The beef short ribs were bland, and the katsu was dry. We will NOT be returning  Would not recommend the restaurant at this time
Over priced  Wonderful food and best sake selection in the Bay Area.  The service is excellent.  Pabu has a modern and tasteful Japanese style decor.  It's a must visit.  Server was very nice and friendly. Food is overpriced and nothing special. I would go to Japan town next time as it is definitely more fun. But the server was a nice lady and we appreciate it.  I had been at pabu before and it was good. I took my wife here for a special dinner, hoping to share a great place. Unfortunately it didn’t meet the expectations I had.  A nice place to enjoy great sushi and other Japanese delights. The service and food quality were great. Highly recommended.  It is a fun place, I can say the best food is on the small menu. Friendly service however you have to wait long time to order or to get your food.  Not my first visit to Pabu but first visit in a couple years. Wow, what a great energy and experience. The sushi, sashimi and rolls ordered were magnificent. ",https://resizer.otstatic.com/v2/photos/xlarge/3/53997267.webp
129,https://www.opentable.com/r/boto-bar-and-restaurant-brazilian-cuisine-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Boto Bar and Restaurant - Brazilian Cuisine,9 Reviews,3.8,Brazilian,$30 and under,4,3.7,3.9,3.7,"Experience the full concept of Brazilian cuisine, showcasing the delicious and rich culture of South American food.
Led by Chef Lucas Freire, a native Brazilian, our team is dedicated to providing you with an exquisite experience of authentic Brazilian dishes.
Join us for a multi-cultural culinary journey featuring the most beloved regional Brazilian flavors.
Enjoy handcrafted cocktails and a well-curated South American wine list.
Boto-where Brazilian tradition meets modern taste.","Read more I am really surprised how the other reviews are so great here. I ate with 5 friends and we agreed afterwards that this was one of the worst meals we'd had in SF in a long time. One main dish had a large hair mixed in, and the chicken I ate was incredibly dry. The ""stews"" were not much more than a pile of rice and vegetables with a bit of sauce on the side, and they were not that flavorful either. The only reason this isn't a 1 star review is that the drinks were actually good. Read more Wonderful restaurant experience! Food, service and attention to detail really made this stand out. My partner from Brazil loved it too, so I think that speaks for itself!  You must mount difficult stairs to access the restaurant. The food was way over salted; the salad was uneatable due to the over salting. The entree was also oversalted and barely eatable. The operation appeared very amateurish.  Really delicious food. Loved doing it family style. Portions were nice sized. Short but well-picked wine list. Excellent Caipirinhas.
However, the food came out all at once, in spite of our asking to slow it down,  crowding the table and not allowing us to have salads before entrees.  But they’ve only been open for 3 weeks  I’m sure they will figure it out. Read more Food was a little salty and the ambience was a bit quiet but overall would come back  The whole experience was amazing, the people are really friendly and the food is delicious.

They have a good options of drinks and it reminds me the Brazilian drinks perfectly.

I’ll be back soon!! ;-) Read more I really liked the ambiance and decoration. The food was good and different, but I thought that the hamburger would be better since it was ordinary. I thought the food was a little pricey for what it was.  Other than croquettes, food wasn’t great. Service was delayed and not kind.  We had a 10/10 experience given our waiter was very friendly and welcoming, food was delicious and authentic and atmosphere was cozy and well designed. Highly recommend Boto, after our first experience this week.

We were celebrating our engagement and upon arrival our waiter poured us glasses of champagne and a complementary flan for dessert which was delicious!

I had the braised short rib which melted in your mouth. It also came with aipim root which was cooked perfectly.

Caprainhas and all the authentic Brazilian dishes were great. My fiancé is Brazilian and the chef even came out to chat with her/us.

Lastly the space is cozy with great vibes. It’s great having a nice outdoor/rooftop restaurant and bar in the marina. We look forward to coming back! Read more",https://resizer.otstatic.com/v2/photos/xlarge/4/65584525.webp
130,https://www.opentable.com/r/the-matterhorn-restaurant-and-bakery-san-francisco?corrid=f9944d77-da73-44cd-9383-f3add95d0408&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,The Matterhorn Restaurant and Bakery,529 Reviews,4.8,Swiss,$30 and under,4.6,4.7,4.7,4.4,"Mountain experiences - outdoor adventures, food, family, friends and community – always find us at our happiest.

At Matterhorn Restaurant & Bakery we showcase the magical experience of Swiss on-mountain dining, whether it’s après-ski, après-work, or après-all day.

Our restaurant focuses on authentic alpine cuisine, thoughtfully sourced and lovingly served in a setting inspired by the mountain ""Stüblis"" of the Alps. The menu is anchored by the Swiss classics of Fondue and Raclette - but features other typical fare highlighting various alpine regions.

Beer, wine and beverage offerings are designed to feature classic and fun pairings from Old and New World alike.

The Matterhorn has been a San Francisco institution, and we're proud to bring a fresh new chapter to its iconic story. As our guest it's an honor to have you at the story's center!","Read more Wonderful food and service. We ran late due to traffic and the staff couldn't have been more accommodating  The vibe that this place brings blows other restaurants out of the water. I would say the cheese smell is noticeable but if you don’t like cheese this place is probably not the place for you. 10/10 vibes HIGHLY RECOMMEND from parties to cute dates this place hits.  One of my most favorite restaurants anywhere! Food is amazing, service is attentive, and the ambience very unique. I will try to eat here EVERY time I come to San Francisco!  The fondue is amazing at Matterhorn. The bread is fresh. The aperitif was lovely. Always a lovely celebratory comfort food dinner out. I love this restaurant!  What a treat! Such a cute restaurant, we loved the ambiance and decor! Our waitress was amazing, I wish I remembered her name- she has worked there for 20 years.  She was the best and so friendly.  But the food!!! We are still talking about it.  Yummy fondue add the apples, charcuterie board was great, schnitzel was delicious, the raclette was fun to cook, but dessert was my daughter’s favorite.  She loved it all.  Get the blueberry ice cream - get it all and a beer like we did! Can’t wait to go back. Read more The food is quality and the atmosphere warm and appealing  Honestly, very surprising, I was expecting he food to be super heavy, given its fondue, but in the end with the side pairings and a glass of wine it felt like a very well balanced meal.  Our very favorite restaurant.... if you like cheese, you must go!  Wonderful staff and amazing and unique food..  Leuk restaurant maar niet de fondue kwaliteit die we verwachten. De rösti was erg flauw. Al met al een leuk restaurant maar niet bijzonder.  This place was awesome! Would recommend good of you are in the bathroom area. ",https://resizer.otstatic.com/v2/photos/xlarge/6/27209616.webp
